agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_num_iters,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
NFQAgent,sweep_c38,10,0.9895102918148041,0.00029296883457624525,9.264488007060258e-05,0.988955557346344,0.9898095726966858,0.9896263182163239,0.989448070526123,0.9896868318319321,NFQAgent,0.99,119012,0.0114346,0.908227,3.15977e-06,2.39217,154,1024,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,1,0,1000000,32,True,4096
NFQAgent,sweep_c22,10,0.9811056911945343,0.0005847599403928927,0.00018491732960658374,0.9802578687667848,0.9824023246765136,0.980978399515152,0.9807909131050111,0.9812340587377547,NFQAgent,0.99,112948,0.0293111,0.774961,0.000235484,0.707224,2,2048,FlatteningReplayBuffer,"(33,)",,0,0,100,32,1,6,0,1000000,2,True,8192
NFQAgent,sweep_c72,10,0.9798653662204743,0.006789752926883705,0.0021471083998747206,0.9708459973335266,0.985856831073761,0.9846311211585999,0.9726422876119614,0.9850793182849884,NFQAgent,0.99,204882,0.0327916,0.430777,1.70984e-05,6.69571,252,65536,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,3,0,1000000,8,True,128
NFQAgent,sweep_c17,10,0.9762319028377533,0.000491411102042547,0.000155397834994787,0.9754986763000488,0.9772295355796814,0.9762209355831146,0.9758831262588501,0.976499006152153,NFQAgent,0.99,71693,0.0636833,0.817311,2.92941e-06,3.98189,247,32768,FlatteningReplayBuffer,"(33,)",,0,0,100,256,1,7,0,1000000,16,True,512
NFQAgent,sweep_c51,10,0.9612270593643188,0.0008426267924234556,0.0002664619881540032,0.9600749015808104,0.962469518184662,0.9613757133483887,0.9604507237672805,0.9616665989160538,NFQAgent,0.99,182112,0.105156,0.384965,0.000120464,5.54423,6,8192,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,8,0,1000000,2,True,8
