agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
RMaxNFQAgent,sweep_c86,10,1.0,,,1.0,1.0,1.0,1.0,1.0,RMaxNFQAgent,0.99,,,,16.0,,6.96673e-06,1.25989,63.0,111.0,,,1.0,1024,FlatteningReplayBuffer,"(264,)",,0,0,100,64,1,0,0,1000000,128,True,1
RMaxNFQAgent,sweep_c37,10,1.0,,,1.0,1.0,1.0,1.0,1.0,RMaxNFQAgent,0.99,,,,16.0,,2.6002e-05,4.96426,6.0,268.0,,,1.0,2048,FlatteningReplayBuffer,"(264,)",,0,0,100,64,1,1,0,1000000,64,True,16
RMaxNFQAgent,sweep_c17,10,1.0,,,1.0,1.0,1.0,1.0,1.0,RMaxNFQAgent,0.99,,,,16.0,,0.000325437,12.6206,12.0,36.0,,,1.0,8192,FlatteningReplayBuffer,"(264,)",,0,0,100,16,1,6,0,1000000,16,True,64
RMaxNFQAgent,sweep_c56,10,1.0,,,1.0,1.0,1.0,1.0,1.0,RMaxNFQAgent,0.99,,,,16.0,,0.000511474,7.32789,12.0,78.0,,,1.0,1024,FlatteningReplayBuffer,"(264,)",,0,0,100,16,1,2,0,1000000,512,True,1024
RMaxNFQAgent,sweep_c8,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,RMaxNFQAgent,0.99,,,,16.0,,3.47466e-06,5.09718,49.0,124.0,,,1.0,16384,FlatteningReplayBuffer,"(264,)",,0,0,100,32,1,5,0,1000000,8,True,1
NFQAgent,sweep_c61,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NFQAgent,0.99,157531.0,0.010268,0.733115,,,0.0133724,2.15963,,155.0,,,,4096,FlatteningReplayBuffer,"(264,)",,0,0,100,128,1,1,0,1000000,128,True,1024
NFQAgent,sweep_c62,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NFQAgent,0.99,213496.0,0.0635581,0.972643,,,0.000866657,4.56128,,12.0,,,,2048,FlatteningReplayBuffer,"(264,)",,0,0,100,64,1,6,0,1000000,1,True,16
NFQAgent,sweep_c64,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NFQAgent,0.99,62962.0,0.0614114,0.483741,,,2.60559e-06,8.18769,,128.0,,,,4096,FlatteningReplayBuffer,"(264,)",,0,0,100,16,1,9,0,1000000,64,True,16
NFQAgent,sweep_c69,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NFQAgent,0.99,351752.0,0.124726,0.780408,,,0.13141,6.22917,,185.0,,,,1024,FlatteningReplayBuffer,"(264,)",,0,0,100,16,1,4,0,1000000,512,True,16
NFQAgent,sweep_c73,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NFQAgent,0.99,204605.0,0.0118454,0.710571,,,0.354086,0.982549,,44.0,,,,4096,FlatteningReplayBuffer,"(264,)",,0,0,100,64,1,2,0,1000000,1,True,8
DQNAgent,sweep_c54,10,0.15164072811603543,0.0491212885823992,0.015533515352280505,0.0919765159487724,0.2414383590221405,0.13951497152447695,0.11233664862811563,0.18209578841924667,DQNAgent,0.99,65586.0,0.24318,0.771631,,,1.6177e-05,4.46962,,,,64.0,,1024,FlatteningReplayBuffer,"(264,)",,0,0,2048,256,1,4,0,1000000,8,True,4
DQNAgent,sweep_c51,10,0.1316086314618587,0.020467663622352104,0.006472443542880507,0.096456691622734,0.1586998105049133,0.13744816929101938,0.11807293817400925,0.14369093626737595,DQNAgent,0.99,491604.0,0.230784,0.696209,,,0.000326995,6.29305,,,,128.0,,2048,FlatteningReplayBuffer,"(264,)",,0,0,2048,128,1,0,0,1000000,4,True,4096
DQNAgent,sweep_c75,10,0.12988232448697085,0.022865885746762588,0.007230827967694989,0.0992217883467674,0.1663551330566406,0.1218568682670593,0.11376797780394547,0.1427883356809616,DQNAgent,0.99,308510.0,0.24465,0.437336,,,1.99352e-05,13.5967,,,,64.0,,1024,FlatteningReplayBuffer,"(264,)",,0,0,2048,32,1,6,0,1000000,2,True,32
DQNAgent,sweep_c38,10,0.11519611626863477,0.01581730141993,0.005001869892439422,0.0888030901551246,0.1404805928468704,0.11384880170226094,0.1049618348479271,0.12194368056952948,DQNAgent,0.99,429929.0,0.212786,0.973797,,,0.000101942,0.628477,,,,2048.0,,4096,FlatteningReplayBuffer,"(264,)",,0,0,2048,64,1,7,0,1000000,512,True,8192
DQNAgent,sweep_c28,10,0.1087491892278194,0.013723589667444145,0.004339780102267621,0.0873786434531211,0.1299435049295425,0.1120742820203304,0.1008175835013389,0.11591456830501552,DQNAgent,0.99,377700.0,0.146679,0.533386,,,7.78939e-06,5.14001,,,,128.0,,1024,FlatteningReplayBuffer,"(264,)",,0,0,2048,16,1,2,0,1000000,16,True,4
