agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DRMAgent,sweep_c41,10,0.01059279581531876,0.005300691751153811,0.0016762259108112501,0.0040899794548749,0.0202839765697717,0.0112120201811194,0.005624790675938075,0.013731956481933526,DRMAgent,0.99,,,,16.0,290.0,0.000164828,1.08094,,,0.01,128.0,,2048,FlatteningReplayBuffer,"(264,)",,0,0,2048,32,1,8,0,1000000,8,True,64
DRMAgent,sweep_c57,10,0.010396155016496721,0.00482678781255571,0.001526364327001792,0.0020491802133619,0.0203252024948596,0.0102040814235806,0.00867346907034515,0.0117025782819837,DRMAgent,0.99,,,,16.0,73.0,0.000800428,10.7861,,,0.01,32768.0,,4096,FlatteningReplayBuffer,"(264,)",,0,0,2048,64,1,0,0,1000000,64,True,512
DQNAgent,sweep_c78,10,0.010212849080562521,0.0037199084500347404,0.0011763383389416441,0.0040983604267239,0.0183673463761806,0.0102040814235806,0.0081799589097499,0.01173991058021775,DQNAgent,0.99,3031.0,0.0174004,0.330665,,,3.71079e-05,9.85395,,,,1024.0,,4096,FlatteningReplayBuffer,"(264,)",,0,0,2048,16,1,7,0,1000000,64,True,512
DRMAgent,sweep_c80,10,0.00979386051185423,0.004479879261722524,0.0014166622109596748,0.0020491802133619,0.016293279826641,0.0102040814235806,0.00715224724262945,0.012238663155585451,DRMAgent,0.99,,,,16.0,362.0,0.0272459,10.2049,,,0.01,128.0,,8192,FlatteningReplayBuffer,"(264,)",,0,0,2048,256,1,2,0,1000000,64,True,1024
DRMAgent,sweep_c7,10,0.009596440987661412,0.0035970072751196863,0.001137473574957412,0.0020491802133619,0.0142857143655419,0.00919202016666525,0.0081799589097499,0.01173469377681605,DRMAgent,0.99,,,,16.0,478.0,0.000773221,8.31388,,,0.01,1024.0,,2048,FlatteningReplayBuffer,"(264,)",,0,0,2048,256,1,9,0,1000000,32,True,4096
DRMAgent,sweep_c76,10,0.009384061722084832,0.003967334928548433,0.0012545814614954422,0.0040899794548749,0.0162601619958877,0.0091836731880903,0.0061475411057472,0.01173469377681605,DRMAgent,0.99,,,,16.0,408.0,4.37689e-06,8.41691,,,0.01,128.0,,4096,FlatteningReplayBuffer,"(264,)",,0,0,2048,512,1,6,0,1000000,128,True,4
DQNAgent,sweep_c57,10,0.00937281874939795,0.005991768339324587,0.001894763516435033,0.0040899794548749,0.0243902429938316,0.008154952432960251,0.0061224489472806,0.01120578544214365,DQNAgent,0.99,117820.0,0.0153105,0.402849,,,0.000167124,7.67415,,,,2048.0,,8192,FlatteningReplayBuffer,"(264,)",,0,0,2048,32,1,1,0,1000000,16,True,64
DQNAgent,sweep_c63,10,0.00918287774547929,0.0055299305587917175,0.001748717586834949,0.0020491802133619,0.0203665979206562,0.0071554030291736005,0.006125579006038551,0.0122448978945612,DQNAgent,0.99,115679.0,0.0481333,0.614362,,,0.0795409,1.80541,,,,1024.0,,16384,FlatteningReplayBuffer,"(264,)",,0,0,2048,256,1,8,0,1000000,512,True,64
DRMAgent,sweep_c52,10,0.009181211749091681,0.004419292729579362,0.0013975030672493355,0.0020491802133619,0.0142566189169883,0.0102040814235806,0.0051187600474804,0.012238663155585451,DRMAgent,0.99,,,,16.0,196.0,0.208554,0.600908,,,0.01,16384.0,,2048,FlatteningReplayBuffer,"(264,)",,0,0,2048,512,1,6,0,1000000,256,True,2048
DRMAgent,sweep_c71,10,0.00877472287975246,0.0041812070138816096,0.001322213753253715,0.0020491802133619,0.0162601619958877,0.00817161193117495,0.0066514720674604,0.01173469377681605,DRMAgent,0.99,,,,16.0,274.0,0.00268415,5.71118,,,0.01,256.0,,4096,FlatteningReplayBuffer,"(264,)",,0,0,2048,32,1,6,0,1000000,8,True,256
DRMAgent,sweep_c89,10,0.007344059832394061,0.005182331762375323,0.0016387971959740508,0.0020491802133619,0.016293279826641,0.0061287090647965,0.0025614752667024,0.010198885807767476,DRMAgent,0.99,,,,16.0,455.0,0.726241,14.6857,,,0.01,16384.0,,2048,FlatteningReplayBuffer,"(264,)",,0,0,2048,512,1,9,0,1000000,64,True,32
DQNAgent,sweep_c95,10,0.006948377657681641,0.0017159081374728976,0.0005426177970031676,0.0040983604267239,0.0102040814235806,0.0061349691823124,0.0061349691823124,0.0081632649526,DQNAgent,0.99,33150.0,0.0531404,0.547394,,,0.00526661,3.69786,,,,64.0,,1024,FlatteningReplayBuffer,"(264,)",,0,0,2048,32,1,5,0,1000000,32,True,8192
DQNAgent,sweep_c68,10,0.0069413118064402795,0.004518230307496391,0.0014287898764891544,0.0020491802133619,0.0142566189169883,0.0061349691823124,0.0040899794548749,0.009189946344122249,DQNAgent,0.99,333710.0,0.0143071,0.447195,,,0.00122369,6.11085,,,,16384.0,,16384,FlatteningReplayBuffer,"(264,)",,0,0,2048,64,1,3,0,1000000,128,True,512
DRMAgent,sweep_c83,10,0.00551647092215712,0.0036062180511072864,0.0011403862780712522,0.0,0.0102249486371874,0.00511040468700225,0.00255938002374015,0.0081632649526,DRMAgent,0.99,,,,16.0,406.0,3.54391e-05,5.16437,,,0.01,16384.0,,8192,FlatteningReplayBuffer,"(264,)",,0,0,2048,32,1,5,0,1000000,2,True,8192
DQNAgent,sweep_c23,10,0.0051162458490579595,0.0014463654257073511,0.0004573809074154284,0.0020491802133619,0.0061475411057472,0.0061349691823124,0.00409207469783715,0.0061349691823124,DQNAgent,0.99,8492.0,0.0101161,0.59224,,,0.402962,14.7056,,,,64.0,,2048,FlatteningReplayBuffer,"(264,)",,0,0,2048,32,1,9,0,1000000,2,True,8192
DRMAgent,sweep_c3,10,0.00470056179910892,0.002893242905823947,0.0009149237406527713,0.0,0.0102040814235806,0.00511040468700225,0.00255938002374015,0.00613183912355445,DRMAgent,0.99,,,,16.0,52.0,0.000122592,9.20222,,,0.01,2048.0,,8192,FlatteningReplayBuffer,"(264,)",,0,0,2048,256,1,8,0,1000000,128,True,8192
