experiment_id,experiment_name,run_id,run_name,status,start_time,end_time,lifecycle_stage,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_num_update_epochs,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps,tag_group,tag_mlflow.runName,tag_mlflow.source.git.commit,tag_mlflow.source.name,tag_mlflow.source.type,tag_mlflow.user,metric_last100_train_disc_return_mean,metric_last100_train_return_mean,metric_train_disc_return_mean,metric_train_return_mean,artifact_uri
355755658541147001,navix_5x5_layout1,d2f59fb05ecd46e4b44d1cd176d8c82d,sweep_c22_seed_1,1,1771874250339,,active,RMaxNFQAgent,0.99,,,,,,0.000128321,4.13852,84,288,,,,,,1.0,32768,FlatteningReplayBuffer,"(400,)",None,0,0,100,16,1,1,0,1000000,128,True,32,sweep_c22,sweep_c22_seed_1,4b5374eca37f2681facc5769bb98fe42c8b6dd01,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,,,,,/home/lcruz1/mlruns/355755658541147001/d2f59fb05ecd46e4b44d1cd176d8c82d/artifacts
355755658541147001,navix_5x5_layout1,f819b14061c6467282b98beb426874d8,sweep_c16_seed_5,3,1771874252298,1771877976567.0,active,RMaxNFQAgent,0.99,,,,,,3.46993e-06,1.02768,14,12,,,,,,1.0,2048,FlatteningReplayBuffer,"(400,)",None,0,0,100,64,1,5,0,1000000,2,True,8,sweep_c16,sweep_c16_seed_5,4b5374eca37f2681facc5769bb98fe42c8b6dd01,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.0,0.0,0.0,0.0,/home/lcruz1/mlruns/355755658541147001/f819b14061c6467282b98beb426874d8/artifacts
355755658541147001,navix_5x5_layout1,36b70182c3d24a6d949d3e8bcf6f244b,sweep_c2_seed_3,3,1771874231669,1771879731238.0,active,RMaxNFQAgent,0.99,,,,,,0.633098,13.5814,77,159,,,,,,1.0,1024,FlatteningReplayBuffer,"(400,)",None,0,0,100,32,1,3,0,1000000,32,True,256,sweep_c2,sweep_c2_seed_3,4b5374eca37f2681facc5769bb98fe42c8b6dd01,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.0,0.0,0.0013726848410442472,0.0023978420067578554,/home/lcruz1/mlruns/355755658541147001/36b70182c3d24a6d949d3e8bcf6f244b/artifacts
355755658541147001,navix_5x5_layout1,38957eb95830474ea5605cacb5eb00f9,sweep_c30_seed_1,1,1771876852377,,active,RMaxNFQAgent,0.99,,,,,,0.000291375,3.59611,0,2,,,,,,1.0,32768,FlatteningReplayBuffer,"(400,)",None,0,0,100,32,1,1,0,1000000,8,True,512,sweep_c30,sweep_c30_seed_1,56e3672354b6110aa7d48a543247e209f4203b43,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,,,,,/home/lcruz1/mlruns/355755658541147001/38957eb95830474ea5605cacb5eb00f9/artifacts
355755658541147001,navix_5x5_layout1,56cb39a6f85143019a8139cd60f20562,sweep_c91_seed_9,3,1771876947076,1771884414565.0,active,RMaxNFQAgent,0.99,,,,,,4.19316e-06,10.887,58,197,,,,,,1.0,2048,FlatteningReplayBuffer,"(400,)",None,0,0,100,512,1,9,0,1000000,64,True,4,sweep_c91,sweep_c91_seed_9,56e3672354b6110aa7d48a543247e209f4203b43,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.0,0.0,0.00011973448999924585,0.00019999999494757503,/home/lcruz1/mlruns/355755658541147001/56cb39a6f85143019a8139cd60f20562/artifacts
355755658541147001,navix_5x5_layout1,9d676c06893c4c7ebc7eb5d88c356bf9,sweep_c95_seed_1,3,1771876937684,1771891601639.0,active,RMaxNFQAgent,0.99,,,,,,0.0243757,3.01392,86,153,,,,,,1.0,16384,FlatteningReplayBuffer,"(400,)",None,0,0,100,32,1,1,0,1000000,256,True,4096,sweep_c95,sweep_c95_seed_1,56e3672354b6110aa7d48a543247e209f4203b43,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.0,0.0,0.015409283339977264,0.026003560051321983,/home/lcruz1/mlruns/355755658541147001/9d676c06893c4c7ebc7eb5d88c356bf9/artifacts
355755658541147001,navix_5x5_layout1,7c44a410d1914ad698dbd13d9f59f7e0,sweep_c76_seed_7,3,1771876941690,1771893155864.0,active,RMaxNFQAgent,0.99,,,,,,0.40693,4.51607,13,286,,,,,,1.0,16384,FlatteningReplayBuffer,"(400,)",None,0,0,100,64,1,7,0,1000000,128,True,4,sweep_c76,sweep_c76_seed_7,56e3672354b6110aa7d48a543247e209f4203b43,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.0,0.0,0.0003889265062753111,0.0007998400251381099,/home/lcruz1/mlruns/355755658541147001/7c44a410d1914ad698dbd13d9f59f7e0/artifacts
355755658541147001,navix_5x5_layout1,af5b4a5a8cca4f6982b78e3f7c839d6d,sweep_c9_seed_8,3,1771876902258,1771879797286.0,active,DRMAgent,0.99,,,,5,42,0.0883067,4.20695,,,1,1.0,16384,True,1.0,,2048,FlatteningReplayBuffer,"(33,)",None,0,0,100,128,1,8,0,1000000,512,True,512,sweep_c9,sweep_c9_seed_8,56e3672354b6110aa7d48a543247e209f4203b43,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.0,0.0,0.0021763627883046865,0.003994407597929239,/home/lcruz1/mlruns/355755658541147001/af5b4a5a8cca4f6982b78e3f7c839d6d/artifacts
355755658541147001,navix_5x5_layout1,ba5d8f370994421e8300f9404e58a873,sweep_c72_seed_1,3,1771877004161,1771880635981.0,active,DRMAgent,0.99,,,,5,139,1.00345e-06,7.93892,,,1,1.0,4096,True,1.0,,16384,FlatteningReplayBuffer,"(33,)",None,0,0,100,1024,1,1,0,1000000,128,True,2048,sweep_c72,sweep_c72_seed_1,56e3672354b6110aa7d48a543247e209f4203b43,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.0,0.0,0.00017014540208037943,0.0002999700082000345,/home/lcruz1/mlruns/355755658541147001/ba5d8f370994421e8300f9404e58a873/artifacts
355755658541147001,navix_5x5_layout1,1e3bcd36798a43de906ece9a5abbef5b,sweep_c46_seed_3,1,1771876904772,,active,RMaxNFQAgent,0.99,,,,,,0.000170434,12.4913,69,54,,,,,,1.0,16384,FlatteningReplayBuffer,"(400,)",None,0,0,100,2048,1,3,0,1000000,4,True,1024,sweep_c46,sweep_c46_seed_3,56e3672354b6110aa7d48a543247e209f4203b43,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,,,,,/home/lcruz1/mlruns/355755658541147001/1e3bcd36798a43de906ece9a5abbef5b/artifacts
