agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DRMAgent,sweep_c35,10,0.7157649501983542,0.38168936818327426,0.12070077621297515,0.0005998800043016,0.9522690773010254,0.8949852883815765,0.7730544656515121,0.9275295734405518,DRMAgent,0.99,,,,5.0,447.0,0.00149776,5.69613,,,1.0,512.0,True,1.0,,16384,FlatteningReplayBuffer,"(33,)",,0,0,100,16,1,9,0,1000000,4,True,16
DRMAgent,sweep_c78,10,0.6772219836711884,0.15411003846353588,0.04873387318409292,0.3726178407669067,0.924726903438568,0.6865480542182922,0.603605717420578,0.7704238742589951,DRMAgent,0.99,,,,5.0,237.0,0.00534443,7.30099,,,1.0,128.0,True,1.0,,8192,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,7,0,1000000,1,True,512
DRMAgent,sweep_c40,10,0.6035501122343703,0.4189059908206167,0.13246970564827362,0.0001999999949475,0.9584863781929016,0.8303598165512085,0.1922325959894806,0.8803655952215195,DRMAgent,0.99,,,,5.0,60.0,0.0134826,0.663583,,,1.0,4096.0,True,1.0,,32768,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,4,0,1000000,4,True,1024
DRMAgent,sweep_c0,10,0.5982684886548668,0.3296314020041334,0.10423860186476533,0.0043899030424654,0.9328023195266724,0.704948902130127,0.525721862912178,0.8317781686782837,DRMAgent,0.99,,,,5.0,433.0,0.000187991,0.703217,,,1.0,4096.0,True,1.0,,131072,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,6,0,1000000,16,True,32
DRMAgent,sweep_c6,10,0.5864960349070316,0.4083542019570562,0.12913293702846854,9.999999747378752e-05,0.9013261795043944,0.826599657535553,0.17551152898886352,0.8657318502664566,DRMAgent,0.99,,,,5.0,114.0,2.56195e-05,12.0674,,,1.0,256.0,True,1.0,,131072,FlatteningReplayBuffer,"(33,)",,0,0,100,16,1,2,0,1000000,2,True,256
RMaxNFQAgent,sweep_c47,10,0.5005278391457978,0.5259625633486306,0.16632396641622704,9.999999747378752e-05,0.9996072053909302,0.5015366856241599,0.0012234824680489751,0.9994940608739854,RMaxNFQAgent,0.99,,,,,,0.000101942,13.5356,95.0,165.0,,,,,1.0,1024,FlatteningReplayBuffer,"(33,)",,0,0,100,256,1,2,0,1000000,4,True,512
RMaxNFQAgent,sweep_c70,10,0.47961430065333843,0.5027500891832523,0.1589835375671859,0.0022983911912888,0.9761329889297484,0.45165191078558564,0.00277250469662245,0.9657673835754396,RMaxNFQAgent,0.99,,,,,,2.06686e-05,4.02116,65.0,95.0,,,,,1.0,16384,FlatteningReplayBuffer,"(33,)",,0,0,100,64,1,0,0,1000000,64,True,8192
DRMAgent,sweep_c71,10,0.4143175190547481,0.4684088777637948,0.14812389299769893,0.0006998600438237,0.9669426679611206,0.184573535923846,0.0008748025720706,0.935010552406311,DRMAgent,0.99,,,,5.0,274.0,0.00268415,5.71118,,,1.0,256.0,True,1.0,,4096,FlatteningReplayBuffer,"(33,)",,0,0,100,32,1,3,0,1000000,8,True,256
DRMAgent,sweep_c62,10,0.3929845551290782,0.5069378480831389,0.16030782320871417,0.0,0.9857160449028016,0.00074976010364475,0.00012499999684221564,0.9807260036468505,DRMAgent,0.99,,,,5.0,201.0,0.000421108,6.88651,,,1.0,512.0,True,1.0,,2048,FlatteningReplayBuffer,"(33,)",,0,0,100,16,1,8,0,1000000,1,True,16
RMaxNFQAgent,sweep_c49,10,0.2690504491329193,0.07348970670140546,0.02323948577541809,0.1802880465984344,0.4327130317687988,0.256775677204132,0.21716290712356565,0.3052862733602524,RMaxNFQAgent,0.99,,,,,,2.13172e-05,4.8565,5.0,230.0,,,,,1.0,32768,FlatteningReplayBuffer,"(33,)",,0,0,100,32,1,3,0,1000000,4,True,32
RMaxNFQAgent,sweep_c50,10,0.2099217580805998,0.35302728154730423,0.11163702858670128,0.0007998400251381,0.9751457571983336,0.00379141047596925,0.00154909311095245,0.4092568912310526,RMaxNFQAgent,0.99,,,,,,0.000957323,7.78521,67.0,294.0,,,,,1.0,2048,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,7,0,1000000,256,True,2048
RMaxNFQAgent,sweep_c19,10,0.20015645325474907,0.42125600670951774,0.13321284592292487,0.0,0.9995219707489014,0.00019998500283689377,9.999999747378752e-05,0.0012989009774172998,RMaxNFQAgent,0.99,,,,,,0.000596662,2.95666,72.0,105.0,,,,,1.0,1024,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,9,0,1000000,4,True,32
RMaxNFQAgent,sweep_c82,10,0.18226739712990817,0.37517499048997255,0.11864074910803243,0.0014994002413004,0.9557655453681946,0.0038444231031462,0.002273338672239275,0.01202012342400845,RMaxNFQAgent,0.99,,,,,,0.00117119,8.08437,73.0,108.0,,,,,1.0,2048,FlatteningReplayBuffer,"(33,)",,0,0,100,128,1,4,0,1000000,256,True,2048
DRMAgent,sweep_c14,10,0.15823811441659924,0.006537398039366683,0.0020673067775517826,0.149768054485321,0.171511635184288,0.1572276726365089,0.15413690358400345,0.1613549254834651,DRMAgent,0.99,,,,5.0,418.0,2.32878e-06,12.8443,,,1.0,256.0,True,1.0,,8192,FlatteningReplayBuffer,"(33,)",,0,0,100,16,1,7,0,1000000,512,True,1
DRMAgent,sweep_c18,10,0.13379551991820332,0.007369772328641133,0.002330526639538895,0.1240820214152336,0.1453306823968887,0.13451162725687021,0.12804284319281575,0.1378169767558574,DRMAgent,0.99,,,,5.0,332.0,5.98678e-05,2.78674,,,1.0,4096.0,True,1.0,,131072,FlatteningReplayBuffer,"(33,)",,0,0,100,16,1,3,0,1000000,512,True,2048
RMaxNFQAgent,sweep_c4,10,0.13309885829221452,0.059609637487951644,0.018850222495888504,0.002996404422447,0.2163278460502624,0.14102351665496826,0.11259795725345605,0.16475343331694597,RMaxNFQAgent,0.99,,,,,,0.0565134,13.7819,70.0,48.0,,,,,1.0,65536,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,3,0,1000000,1,True,8192
RMaxNFQAgent,sweep_c33,10,0.12540783482836557,0.2685288684416612,0.08491628417833588,0.0016991504235193,0.7701095938682556,0.00239820138085625,0.00192356106708755,0.0060737878084182,RMaxNFQAgent,0.99,,,,,,0.0264369,9.31015,89.0,254.0,,,,,1.0,131072,FlatteningReplayBuffer,"(33,)",,0,0,100,512,1,2,0,1000000,64,True,8192
