parent_run_id,parent_name,eval_auc_mean,eval_auc_se,eval_last100_mean,eval_last100_se,eval_full_mean,eval_full_se,eval_n_seeds,train_auc_mean,train_auc_se,train_last100_mean,train_last100_se,train_full_mean,train_full_se,train_n_seeds,param.num_actions,param.m,param.initial_value,param.learning_rate,param.num_states,param.r_max,param.discount,param.horizon
59ee15ec0f6640498d0cf6b99018faf7,rmax_dtp_planner_lr0p1_m_1_hz3,12855113.533592224,53278.726344060495,42.95698855590821,0.07475961476626286,42.91829085191091,0.1776220223918471,11,12808970.420646667,6414.616006789423,42.7004885559082,0.09085840632544694,42.76138811683654,0.021015705694224705,11,2,1,0.0,0.1,6,6.0,0.9,3
9039e47a03e24f83a8c5edbce84b0f68,rmax_dtp_planner_lr0p05_m_30_hz3,12800136.33363247,9757.065636496403,42.943488555908196,0.06330284353802758,42.73630894851685,0.03037845696781898,11,12677004.742515087,9926.222131700082,42.821988555908206,0.06228161847607993,42.30176239168644,0.0322115353879755,11,2,30,0.0,0.05,6,6.0,0.9,3
5cfcce465d7345fa8b6d2c5c234b16fe,rmax_dtp_planner_lr0p03_m_5_hz5,12796572.268855572,9334.234944882899,42.8984885559082,0.0995100497437318,42.72105239482721,0.03136137183884128,11,13054932.370448112,266605.6992302858,42.7454885559082,0.072389571072082,43.56994443941116,0.8888320756079476,11,2,5,0.0,0.03,6,6.0,0.9,5
51e7bdbce7e14fd497842436cf1d1fc6,rmax_dtp_planner_lr0p01_m_30_hz4,12793373.557186127,10946.382011779104,42.8984885559082,0.10130276402941821,42.716953504880266,0.03620880909453696,11,12675651.168978214,8243.986300014574,42.772488555908204,0.058576872569300185,42.30009150354067,0.02720569481838858,11,2,30,0.0,0.01,6,6.0,0.9,4
a2c46c6a6edf4b9ea067a8bb705ccba8,rmax_dtp_planner_lr0p01_m_30_hz5,12810310.63952446,11043.538076990693,42.8939885559082,0.06249799996799917,42.7735283498764,0.03741164998566479,11,12693005.519974232,13692.194849268499,42.785988555908204,0.09290317540321222,42.353481234788894,0.045397637414147714,11,2,30,0.0,0.01,6,6.0,0.9,5
f258656c645c43658cb85321654263c1,rmax_dtp_planner_lr0p05_m_5_hz4,12807141.117429733,9023.480061539289,42.87148855590821,0.10941777734902096,42.75642055479686,0.03149744752504722,11,13005732.035589218,213000.27254763336,42.81748855590821,0.04611127844681824,43.40268389606476,0.7098829917083098,11,2,5,0.0,0.05,6,6.0,0.9,4
5110e72d0f6847fdbd8e3c27ca4eac8c,rmax_dtp_planner_lr0p01_m_10_hz3,12788865.01017809,9968.464218286439,42.85798855590821,0.10044401425669926,42.70046251491706,0.03321436689224422,11,13443681.91010952,693527.3728691962,42.7319885559082,0.07385120175054699,44.86049378812313,2.3111364282073747,11,2,10,0.0,0.01,6,6.0,0.9,3
e6f5f8e8e9264cf18e3b29da33f2b984,rmax_dtp_planner_lr0p1_m_20_hz1,12787805.064868927,6780.980024699147,42.85798855590821,0.05620498198558565,42.69801686382293,0.022795440693419242,11,13085235.103940964,360634.57107607386,42.812988555908206,0.07323933369440266,43.664945122599605,1.2028025645692533,11,2,20,0.0,0.1,6,6.0,0.9,1
ba91249c1f704e15aaaa18a503949a22,rmax_dtp_planner_lr0p03_m_15_hz2,12807119.465351105,7969.658656690609,42.8534885559082,0.057725644214681716,42.75840218766531,0.02650880583250378,11,12749081.63523972,8567.017797085533,42.6824885559082,0.062299678971885326,42.544436319530014,0.027912580981031252,11,2,15,0.0,0.03,6,6.0,0.9,2
79ad6f30b03549b88f3350fcb014de9a,rmax_dtp_planner_lr0p05_m_10_hz6,12800359.836053848,10184.912690688836,42.8534885559082,0.05022200712834972,42.737278601169585,0.03390433505297,11,12762005.944943428,9812.267796442451,42.67348855590821,0.04452246623896773,42.5877934785684,0.03198907733690458,11,2,10,0.0,0.05,6,6.0,0.9,6
fa84041c55a846c2a85f2b4c44d7b93e,rmax_dtp_planner_lr0p1_m_5_hz5,12793791.39494896,9545.090209744298,42.8534885559082,0.09882939846017486,42.716344172795615,0.03268086406344968,11,12780299.383330345,10380.940196440128,42.7994885559082,0.09497499670966067,42.65194175704321,0.03353155017729898,11,2,5,0.0,0.1,6,6.0,0.9,5
b06a10c6e95a4d53b9bbfc039c532d28,rmax_dtp_planner_lr0p03_m_25_hz3,12801436.0165596,5049.098742878426,42.84898855590821,0.07988116173416597,42.74345336945852,0.0172000429358016,11,12688917.808878422,4416.81305245914,42.817488555908206,0.06649248077790501,42.345761962016425,0.015807126077195637,11,2,25,0.0,0.03,6,6.0,0.9,3
003a914709a942f79b8e6debb4c3626f,rmax_dtp_planner_lr0p05_m_20_hz7,12799507.189178467,8812.13618821287,42.84448855590821,0.055903935460752785,42.734152933756505,0.028551461352163954,11,12755338.522517681,8719.594278433167,42.821988555908206,0.058557663887829604,42.570458630323415,0.032314346636424636,11,2,20,0.0,0.05,6,6.0,0.9,7
5f20b7dab2514003a99152c04c9dff8a,rmax_dtp_planner_lr0p05_m_5_hz6,12813116.41036272,6366.496836245866,42.83998855590821,0.05692099788303092,42.781473390777904,0.021294663168482175,11,12770814.306402206,5168.388575054728,42.6959885559082,0.03782856063875555,42.623364637692774,0.016720661605121215,11,2,5,0.0,0.05,6,6.0,0.9,6
2d577359252d4b78a1e138fc34abcca4,rmax_dtp_planner_lr0p03_m_30_hz3,12804245.298971236,9520.060074005814,42.83998855590821,0.08243178998420449,42.75169264416397,0.03177783875327028,11,12702266.87990427,11540.355982596835,42.7229885559082,0.0626418390534639,42.386315364758175,0.038513186776187563,11,2,30,0.0,0.03,6,6.0,0.9,3
