parent_run_id,parent_name,eval_auc_mean,eval_auc_se,eval_last100_mean,eval_last100_se,eval_full_mean,eval_full_se,eval_total_sum_mean,eval_total_sum_se,eval_n_seeds,train_auc_mean,train_auc_se,train_last100_mean,train_last100_se,train_full_mean,train_full_se,train_total_sum_mean,train_total_sum_se,train_n_seeds,param.num_actions,param.m,param.initial_value,param.learning_rate,param.num_states,param.r_max,param.discount,param.horizon
93bdd78747a94b32b61c144a55085708,rmax_dtp_planner_lr0p1_m_30_hz1,820828045.1955502,177162512.81005856,2536.5104536829735,550.9631242470161,2736.985728015485,590.5118581253033,1642191.4368092911,354307.1148751819,11,204921743.61193216,123092426.57047325,731.3617213477762,452.9050384736228,684.9896050158354,411.1699538241126,410993.7630095012,246701.9722944676,11,6,30,0.0,0.1,7,6.0,0.9,1
a2b82d321aa045a9ac037df596a92c14,rmax_dtp_planner_lr0p1_m_25_hz1,685174869.5407183,150393074.80580458,2458.629946110605,572.8157144006227,2285.0713373074627,501.2658814309023,1371042.8023844778,300759.5288585414,11,37921804.8178029,26023072.7712829,135.20969304300456,96.23249618228161,126.56995205372966,86.75054125566936,75941.9712322378,52050.32475340162,11,6,25,0.0,0.1,7,6.0,0.9,1
411b8a2832b34e5cb12ca948c61670df,rmax_dtp_planner_lr0p05_m_30_hz1,596238397.3577416,155269602.7444144,1934.9265961959602,491.71435696511776,1990.7344028846146,518.6493709170492,1194440.6417307688,311189.62255022954,11,159389385.83498594,101337067.83455074,600.9207049387186,407.1086619516625,531.613980667571,337.8744530077879,318968.38840054267,202724.67180467275,11,6,30,0.0,0.05,7,6.0,0.9,1
3bd0375ac24f4ceaa7eaac675f17805c,rmax_dtp_planner_lr0p03_m_30_hz1,541224008.7287413,157973826.3446651,1880.7690658646338,549.1689507012597,1805.2555962907768,526.5691825421299,1083153.3577744663,315941.5095252779,11,68479129.55410375,22003624.27313524,224.9999237060547,74.99997456868489,228.6893361178204,73.38531533296742,137213.60167069224,44031.18919978045,11,6,30,0.0,0.03,7,6.0,0.9,1
e44a553e1e5f48709252ee36562e9400,rmax_dtp_planner_lr0p05_m_20_hz1,527515836.8382551,175852460.0265118,1777.227954060979,616.8273539751807,1759.2720586284352,586.1461686527015,1055563.235177061,351687.7011916209,11,180574378.552093,107548455.02451882,571.9670412837734,329.64045089940237,602.3010807467762,358.53500717424885,361380.64844806574,215121.00430454928,11,6,20,0.0,0.05,7,6.0,0.9,1
7c44176f49cb401982f2af4364bb84c6,rmax_dtp_planner_lr0p1_m_20_hz1,522717573.7746855,166384114.63401535,1425.4554202196784,422.01946875346505,1743.9195146180978,554.942919726212,1046351.7087708585,332965.7518357272,11,54409229.564901605,21845148.717820678,179.99993896484375,73.48466736599714,181.6664844031215,72.88381403423705,108999.89064187293,43730.288420542216,11,6,20,0.0,0.1,7,6.0,0.9,1
f2b7dbddc4724b14872b534befaed2a6,rmax_dtp_planner_lr0p05_m_25_hz1,396669007.32000667,131790217.20264052,1295.747057079554,423.7598863327288,1323.2328087505368,439.4489351257408,793939.6852503221,263669.3610754445,11,81169503.88147776,21814868.923163902,269.9999084472656,73.48466736599714,270.8936867403171,72.77803184243852,162536.2120441903,43666.81910546311,11,6,25,0.0,0.05,7,6.0,0.9,1
0dc8e079a3334ba58c33af716830a4d7,rmax_dtp_planner_lr0p2_m_5_hz1,380778913.81686676,109579976.82619579,1263.87360931511,376.76170691809483,1270.3683444843607,365.42657739648206,762221.0066906164,219255.9464378892,11,109990352.36215715,40782879.804717675,367.98595487785343,137.55254327416577,367.128064128403,136.06959513133438,220276.8384770418,81641.75707880061,11,6,5,0.0,0.2,7,6.0,0.9,1
d3512742e9ed49519800085ad98d7322,rmax_dtp_planner_lr0p05_m_10_hz1,310617992.28680164,117333913.45021972,1244.3741811073396,542.5706927131414,1036.5847944963384,391.4248382155447,621950.8766978031,234854.90292932684,11,107894089.45258877,17848390.937194966,359.9998779296875,59.999979654947914,360.1097150113987,59.5475769209485,216065.82900683922,35728.5461525691,11,6,10,0.0,0.05,7,6.0,0.9,1
00aaf314ec7c43e5b7e39af3a4c87592,rmax_dtp_planner_lr0p03_m_20_hz1,348504164.685253,114790376.22775373,1118.0912191722005,341.5561570410427,1162.880434069964,382.8016596027403,697728.2604419782,229680.9957616442,11,81142919.39473994,21764294.820620984,269.9999084472656,73.48466736599714,270.81656414710307,72.62305173843738,162489.93848826183,43573.83104306243,11,6,20,0.0,0.03,7,6.0,0.9,1
