parent_run_id,parent_name,eval_auc_mean,eval_auc_se,eval_last100_mean,eval_last100_se,eval_full_mean,eval_full_se,eval_n_seeds,train_auc_mean,train_auc_se,train_last100_mean,train_last100_se,train_full_mean,train_full_se,train_n_seeds,param.lambda_,param.num_states,param.initial_value,param.learning_rate,param.discount,param.horizon,param.num_actions,param.beta,param.use_time_bonus
048b67a92f6642ccb3f54e969dfc9e94,ucb_dtp_planner_lr1p0_beta40p0_hz2_static,-4252.989283204079,2165.48436151056,0.0,0.0,-0.014176630944013596,0.007218281205035201,11,-397519.7956964165,5574.289611825478,-0.2317141999211771,0.014455239692345268,-1.3290851684633953,0.018622467787714106,11,,252,0.0,1.0,0.9,2,2,40.0,False
1c232c0ff62340209faf7a3b9bb5d30a,ucb_dtp_planner_lr1p0_beta5_hz4_timebonus,-10504.52047828585,4737.3799331310665,0.0,0.0,-0.03501506826095283,0.015791266443770224,11,-334890.34771075693,8915.93776166726,-0.12287158300921523,0.02192738685042101,-1.1202920306976367,0.029756331357570876,11,,252,0.0,1.0,0.9,4,2,5,True
717bdc4dc0f8467aa68f1fd76076b60c,ucb_dtp_planner_lr1p0_beta10p0_hz3_timebonus,-11752.221866697073,3930.9793394935145,0.0,0.0,-0.03917407288899025,0.01310326446497838,11,-762176.452962777,18216.880256043667,-0.9314069056030776,0.07843149229217733,-2.5464828406446816,0.060863228786595974,11,,252,0.0,1.0,0.9,3,2,10.0,True
7a43c798103345c390a53d73c3e6e1d2,ucb_dtp_planner_lr1p0_beta10p0_hz5_static,-13009.189518727362,4908.91620864891,0.0,0.0,-0.04336396506242454,0.016363054028829697,11,-131354.56501219276,6183.095069394295,-0.013850643425057199,0.005574265695400872,-0.4423137066014554,0.020673798544551425,11,,252,0.0,1.0,0.9,5,2,10.0,False
d54049c1952b44dc9ddff0a32e2b5ddb,ucb_dtp_planner_lr0p8_beta100_hz1_static,-15399.57296717912,6123.903737225094,0.0,0.0,-0.05133190989059706,0.02041301245741698,11,-327588.88986441476,8758.94756304162,-0.3479461900511828,0.04145695475260796,-1.0959889121295476,0.0290737767360682,11,,252,0.0,0.8,0.9,1,2,100,False
cff8ba829c3b46f28d79bc5dea9639a1,ucb_dtp_planner_lr0p4_beta100_hz3_timebonus,-294.01612877845764,294.01612877845764,-0.00011548149585723877,0.00011548149585723879,-0.0009800537625948588,0.0009800537625948588,11,-1571140.1049354114,25952.336588441707,-5.063761303052306,0.28480064038327135,-5.24543035724045,0.08667672239337214,11,,252,0.0,0.4,0.9,3,2,100,True
777104ed3ffb437fb05cd34b155ddcb0,ucb_dtp_planner_lr0p3_beta100_hz6_timebonus,-309.10249054431915,264.2293801567709,-0.0008721193671226502,0.0008721193671226501,-0.0010303416351477306,0.0008807646005225695,11,-1584044.9532106752,11869.319948255476,-5.326154094940052,0.18366309385198476,-5.2891106274575765,0.03939466512164979,11,,252,0.0,0.3,0.9,6,2,100,True
fb4055a223374c91b9988282a0adf086,ucb_dtp_planner_lr0p5_beta50_hz5_timebonus,-1851.2723296880722,1277.4488448966656,-0.00107168710231781,0.00107168710231781,-0.006170907765626908,0.004258162816322219,11,-1411147.1816795315,75207.95045748932,-4.2404327097686885,0.5581513847702436,-4.711629144058376,0.2511784491518221,11,,252,0.0,0.5,0.9,5,2,50,True
03c9797c4e4841e199427ddd11cebf86,ucb_dtp_planner_lr0p2_beta50_hz7_timebonus,1090.6983517110348,1204.2892994372273,-0.0013864402323961258,0.0013864402323961258,0.0037929667904973035,0.003987142721741848,11,-1515161.0169971425,39133.152644823465,-4.684523319408533,0.36129427292868,-5.059181610791034,0.13060389436692102,11,,252,0.0,0.2,0.9,7,2,50,True
39a28efef19040ba91859c150b6c44d4,ucb_dtp_planner_lr1p0_beta100_hz5_timebonus,-3290.2662575244904,1535.5172022901031,-0.002666651964187622,0.002666651964187622,-0.010967554191748302,0.005118390674300345,11,-1759384.4036931172,6009.095074275204,-5.664387825705111,0.09961022113340012,-5.872798181015377,0.019971433627608413,11,,252,0.0,1.0,0.9,5,2,100,True
