agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_convergence_threshold,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_num_update_epochs,param_agent_r_max,param_agent_target_update_freq,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
RMaxAgent,sweep_c37,10,0.08243373110890385,0.0163434463310878,0.005168251522295981,0.0441767051815986,0.1019607856869697,0.0848090648651123,0.07772664539515964,0.09299911744892592,RMaxAgent,5.70606e-07,0.99,,,,,309.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,4,0,1000000,1,True,0
RMaxAgent,sweep_c45,10,0.07973042428493493,0.019698609905741953,0.006229247404129932,0.0404858291149139,0.1162790730595588,0.07936145737767214,0.0752475261688232,0.08682839386165135,RMaxAgent,2.82909e-08,0.99,,,,,248.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,2,0,1000000,1,True,0
RMaxAgent,sweep_c32,10,0.07947055511176584,0.015892055485119145,0.005025509203474863,0.0443548373878002,0.0990291237831115,0.08275092393159865,0.07524752430617807,0.08799310214817523,RMaxAgent,1.03926e-05,0.99,,,,,245.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,7,0,1000000,1,True,0
RMaxAgent,sweep_c67,10,0.07929385825991626,0.018491179347963075,0.005847424336223052,0.0403225794434547,0.1043307110667228,0.08357826620340345,0.07393484935164445,0.0897492207586765,RMaxAgent,1.20516e-09,0.99,,,,,249.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,2,0,1000000,1,True,0
RMaxAgent,sweep_c68,10,0.07921588644385333,0.014418976896043175,0.004559680852084133,0.0561122260987758,0.1001964658498764,0.08193200454115865,0.06778460182249543,0.08965251781046388,RMaxAgent,3.85187e-09,0.99,,,,,278.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,2,0,1000000,1,True,0
RMaxAgent,sweep_c19,10,0.07872361689805982,0.01215747787529438,0.003844532068903475,0.063872255384922,0.1070038899779319,0.0763888917863369,0.07394369132816787,0.08221751078963277,RMaxAgent,6.80819e-05,0.99,,,,,210.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,8,0,1000000,1,True,0
RMaxAgent,sweep_c2,10,0.07724500149488446,0.017382157233655354,0.005496720750552252,0.0503018125891685,0.1056751459836959,0.07797224447131154,0.06317982263863085,0.0900590550154447,RMaxAgent,6.71931e-05,0.99,,,,,266.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,6,0,1000000,1,True,0
RMaxAgent,sweep_c46,10,0.07645029574632642,0.009001564688489151,0.0028465446920969777,0.0637450218200683,0.0903732776641845,0.0773809552192688,0.06986989639699458,0.08085706457495687,RMaxAgent,1.28037e-05,0.99,,,,,194.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,0,0,1000000,1,True,0
RMaxAgent,sweep_c78,10,0.07645029574632642,0.009001564688489151,0.0028465446920969777,0.0637450218200683,0.0903732776641845,0.0773809552192688,0.06986989639699458,0.08085706457495687,RMaxAgent,1.0757e-06,0.99,,,,,194.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,4,0,1000000,1,True,0
RMaxAgent,sweep_c70,10,0.07583496756851668,0.017276506360544487,0.005463311010970674,0.0540000014007091,0.1037181988358497,0.0782944373786449,0.05956430267542598,0.08865413255989549,RMaxAgent,4.59918e-08,0.99,,,,,175.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,9,0,1000000,1,True,0
