agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_convergence_threshold,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_num_update_epochs,param_agent_r_max,param_agent_target_update_freq,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DQNAgent,sweep_c0,10,0.5326615035533905,0.0197014589864314,0.006230148362551558,0.5093457698822021,0.5595238208770752,0.53125,0.5140463411808014,0.5476232618093491,DQNAgent,,0.99,136746.0,0.0418057,0.830568,,,0.096538,7.34032,,,16384.0,16384,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,2048,1,0,0,1000000,23,True,512
DQNAgent,sweep_c55,10,0.5242474883794784,0.04071330131587105,0.01287467632228829,0.4626623392105102,0.574404776096344,0.5237015783786774,0.4889087900519371,0.5609835237264633,DQNAgent,,0.99,97492.0,0.086961,0.970704,,,0.340364,14.895,,,32768.0,2048,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,256,1,8,0,1000000,11,True,8
DQNAgent,sweep_c8,10,0.3798778593540192,0.021651483511002313,0.006846800261634664,0.3425129055976867,0.4054514467716217,0.37877136468887324,0.36836325377225876,0.3996569514274597,DQNAgent,,0.99,370771.0,0.0378435,0.67842,,,0.281215,4.20695,,,16384.0,8192,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,128,1,3,0,1000000,44,True,1024
DQNAgent,sweep_c32,10,0.33351383805274964,0.0605741608006442,0.01915523154833243,0.1752381026744842,0.3874788582324981,0.35609211027622223,0.31915362924337387,0.3653149828314781,DQNAgent,,0.99,207468.0,0.0102706,0.342809,,,0.0267022,7.83316,,,16384.0,131072,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,2048,1,3,0,1000000,38,True,128
DQNAgent,sweep_c73,10,0.3180194616317749,0.026692669098402566,0.008440963118014526,0.2667876482009887,0.3669565320014953,0.31654617190361023,0.30929784476757044,0.3226808235049248,DQNAgent,,0.99,205229.0,0.155528,0.572213,,,0.0456596,11.9542,,,512.0,131072,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,128,1,8,0,1000000,38,True,128
RMaxAgent,sweep_c58,10,0.12821459099650379,0.016744668939609353,0.0052951292514642,0.0978473573923111,0.1486486494541168,0.13256594538688654,0.11517147533595559,0.13956042379140848,RMaxAgent,2.49673e-06,0.99,,,,,917.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,7,0,1000000,1,True,0
RMaxAgent,sweep_c86,10,0.12737323865294453,0.01208230371884501,0.0038207599133472906,0.1078431382775306,0.1431334614753723,0.12945295125246045,0.11984270438551897,0.13672258332371706,RMaxAgent,2.49308e-06,0.99,,,,,960.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,8,0,1000000,1,True,0
RMaxAgent,sweep_c99,10,0.1267700172960758,0.011636834576498379,0.0036798902016335787,0.1130604296922683,0.1434108465909958,0.12426854297518725,0.11682095564901823,0.13753036782145497,RMaxAgent,6.8666e-06,0.99,,,,,990.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,7,0,1000000,1,True,0
RMaxAgent,sweep_c28,10,0.12653099894523617,0.013197307082670636,0.004173354936191128,0.105882354080677,0.147792711853981,0.1277832761406898,0.1202492490410804,0.13489350676536557,RMaxAgent,4.63101e-08,0.99,,,,,889.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,7,0,1000000,1,True,0
RMaxAgent,sweep_c23,10,0.12649055197834963,0.01473115418921169,0.004658399980103996,0.0980392172932624,0.1447876393795013,0.1319118812680244,0.12036717124283307,0.13474532216787335,RMaxAgent,1.17546e-09,0.99,,,,,938.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,1,0,1000000,1,True,0
