agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_anneal_steps,param_agent_class,param_agent_discount,param_agent_final_epsilon,param_agent_initial_epsilon,param_agent_intrinsic_reward_scale,param_agent_step_size,param_buffer_buffer_size,param_buffer_class,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
AnnealingEpsGreedyCountAgent,sweep_c90,5,784865.2,1361101.7692388764,608703.216062672,96460.0,3206670.0,100570.0,97860.0,422766.0,294,AnnealingEpsGreedyCountAgent,0.95,0.0120787,0.880958,7886,0.00140719,1,ReplayBuffer,,0,0,5000,1,1,1,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c78,5,737641.2,1336797.7144477393,597834.1123342995,3583.0,3123670.0,166300.0,143350.0,251303.0,1277,AnnealingEpsGreedyCountAgent,0.95,0.0239577,0.403857,6209,0.000138635,1,ReplayBuffer,,0,0,5000,1,1,0,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c45,5,603684.6,1024015.7901606302,457953.7833664659,97476.0,2433103.0,130908.0,122439.0,234497.0,3400,AnnealingEpsGreedyCountAgent,0.95,0.011848,0.886416,3080,0.00201268,1,ReplayBuffer,,0,0,5000,1,1,4,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c28,5,490287.6,363809.52084476844,162700.56389410578,137650.0,1088121.0,474531.0,272850.0,478286.0,1809,AnnealingEpsGreedyCountAgent,0.95,0.0242066,0.37105,1179,0.00504052,1,ReplayBuffer,,0,0,5000,1,1,0,1,5000,1,True,0
AnnealingEpsGreedyCountAgent,sweep_c57,5,444547.6,716221.9744658774,320304.2043769641,107819.0,1725539.0,127355.0,117767.0,144258.0,2731,AnnealingEpsGreedyCountAgent,0.95,0.016714,0.306228,5529,0.0223101,1,ReplayBuffer,,0,0,5000,1,1,1,1,5000,1,True,0
