experiment_id,experiment_name,run_id,run_name,status,start_time,end_time,lifecycle_stage,param_agent_anneal_steps,param_agent_class,param_agent_discount,param_agent_final_epsilon,param_agent_initial_epsilon,param_agent_intrinsic_reward_scale,param_agent_step_size,param_buffer_buffer_size,param_buffer_class,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps,tag_group,tag_mlflow.runName,tag_mlflow.source.git.commit,tag_mlflow.source.name,tag_mlflow.source.type,tag_mlflow.user,metric_discounted_return,metric_episode_length,metric_loss,metric_return,artifact_uri
391196036599153267,sixarms,822c26878e9346fd99bc4935b933dcea,sweep_c98_seed_3,3,1773257907830,1773257912161,active,995,AnnealingEpsGreedyCountAgent,0.95,0.194464,0.941821,8503,0.157531,1,ReplayBuffer,None,0,0,5000,1,1,3,1,5000,1,True,0,sweep_c98,sweep_c98_seed_3,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,209.08248901367188,5000.0,0.0029296875,95528.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/822c26878e9346fd99bc4935b933dcea/artifacts
391196036599153267,sixarms,ad144707692449ffa2b4d56ec0f0314f,sweep_c60_seed_0,3,1773257903171,1773257907691,active,1963,AnnealingEpsGreedyCountAgent,0.95,0.0147814,0.390749,790,0.906175,1,ReplayBuffer,None,0,0,5000,1,1,0,1,5000,1,True,0,sweep_c60,sweep_c60_seed_0,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,472.53265380859375,5000.0,0.0,229318.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/ad144707692449ffa2b4d56ec0f0314f/artifacts
391196036599153267,sixarms,b2aa30d52b1b4f6db609d33b00de9dc8,sweep_c67_seed_0,3,1773257904230,1773257908561,active,3226,AnnealingEpsGreedyCountAgent,0.95,0.0102706,0.342809,9117,0.0998799,1,ReplayBuffer,None,0,0,5000,1,1,0,1,5000,1,True,0,sweep_c67,sweep_c67_seed_0,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,641.3916625976562,5000.0,0.0048828125,136712.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/b2aa30d52b1b4f6db609d33b00de9dc8/artifacts
391196036599153267,sixarms,a8de9a7df0904c6ba287090a80678c2e,sweep_c48_seed_2,3,1773257911751,1773257916354,active,4328,AnnealingEpsGreedyCountAgent,0.95,0.164163,0.30165,1602,0.0740111,1,ReplayBuffer,None,0,0,5000,1,1,2,1,5000,1,True,0,sweep_c48,sweep_c48_seed_2,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,214.5132293701172,5000.0,0.00146484375,155707.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/a8de9a7df0904c6ba287090a80678c2e/artifacts
391196036599153267,sixarms,ef015262820945c3b6f7cfcb755ce1de,sweep_c60_seed_4,3,1773257902499,1773257907168,active,1963,AnnealingEpsGreedyCountAgent,0.95,0.0147814,0.390749,790,0.906175,1,ReplayBuffer,None,0,0,5000,1,1,4,1,5000,1,True,0,sweep_c60,sweep_c60_seed_4,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,218.2442169189453,5000.0,0.0,257000.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/ef015262820945c3b6f7cfcb755ce1de/artifacts
391196036599153267,sixarms,f7c4e09d68264a91830277dc6d4d337b,sweep_c28_seed_0,3,1773257863981,1773257868308,active,1809,AnnealingEpsGreedyCountAgent,0.95,0.0242066,0.37105,1179,0.00504052,1,ReplayBuffer,None,0,0,5000,1,1,0,1,5000,1,True,0,sweep_c28,sweep_c28_seed_0,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,16.90969467163086,5000.0,1.094970703125,478286.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/f7c4e09d68264a91830277dc6d4d337b/artifacts
391196036599153267,sixarms,d828c12a85b14f2f901fe23421d32827,sweep_c68_seed_3,3,1773257906970,1773257911526,active,4791,AnnealingEpsGreedyCountAgent,0.95,0.0526926,0.613981,3559,0.0119128,1,ReplayBuffer,None,0,0,5000,1,1,3,1,5000,1,True,0,sweep_c68,sweep_c68_seed_3,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,147.3245849609375,5000.0,29.5185546875,90886.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/d828c12a85b14f2f901fe23421d32827/artifacts
391196036599153267,sixarms,9e1c5c52850a4f7b8d18944b9167cab1,sweep_c2_seed_3,3,1773257851298,1773257855589,active,2308,AnnealingEpsGreedyCountAgent,0.95,0.0556524,0.935679,2289,0.021554,1,ReplayBuffer,None,0,0,5000,1,1,3,1,5000,1,True,0,sweep_c2,sweep_c2_seed_3,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,210.90399169921875,5000.0,0.131103515625,350624.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/9e1c5c52850a4f7b8d18944b9167cab1/artifacts
391196036599153267,sixarms,8459d1eea46048ca8933f1720075ce3c,sweep_c49_seed_3,3,1773257911875,1773257916274,active,2477,AnnealingEpsGreedyCountAgent,0.95,0.0196441,0.725852,4587,0.000577883,1,ReplayBuffer,None,0,0,5000,1,1,3,1,5000,1,True,0,sweep_c49,sweep_c49_seed_3,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,154.58555603027344,5000.0,100.76513671875,118900.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/8459d1eea46048ca8933f1720075ce3c/artifacts
391196036599153267,sixarms,63f053dcf8df4bcd8b0360c2b61d6501,sweep_c77_seed_0,3,1773257949039,1773257965161,active,2607,AnnealingEpsGreedyCountAgent,0.95,0.110217,0.306793,5272,0.531195,1,ReplayBuffer,None,0,0,5000,1,1,0,1,5000,1,True,0,sweep_c77,sweep_c77_seed_0,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,360.7503356933594,5000.0,0.0,106150.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/63f053dcf8df4bcd8b0360c2b61d6501/artifacts
