agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DRMAgent,sweep_c158,5,9.099642338695452e-05,5.5978969790235284e-05,2.5034556352274645e-05,3.92711372114718e-05,0.0001736503181746,9.315909119322896e-05,3.92711372114718e-05,0.000109630433144,DRMAgent,0.99,,,,5.0,177.0,0.0363087,1.70652,,,1.0,128.0,True,1.0,,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,256,4,1,0,1000000,2,True,32
RMaxNFQAgent,sweep_c102,5,8.959770493671999e-05,8.928627499082937e-05,3.993003606744677e-05,0.0,0.0002055537188425,0.0001073024759534,0.0,0.0001351323298877,RMaxNFQAgent,0.99,,,,5.0,,0.000513723,5.6845,172.0,23.0,,,,,1.0,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,3,0,1000000,4,True,16
DRMAgent,sweep_c65,5,8.812556770862428e-05,8.843980917756599e-05,3.9551485047629464e-05,0.0,0.0001943040988408,9.134047286352144e-05,0.0,0.0001549832668388,DRMAgent,0.99,,,,5.0,183.0,0.0315989,19.1343,,,1.0,128.0,True,1.0,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,2048,1,2,0,1000000,4,True,256
DRMAgent,sweep_c56,5,8.664367924210905e-05,0.00012325258783423598,5.5120232960023045e-05,0.0,0.0002948536421172,3.92711372114718e-05,0.0,9.909361688187346e-05,DRMAgent,0.99,,,,5.0,436.0,0.0847885,13.174,,,1.0,64.0,True,1.0,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,16,4,0,1000000,4,True,512
DRMAgent,sweep_c166,5,8.555876920580412e-05,7.66230337937581e-05,3.426686244102134e-05,0.0,0.0001786717330105,5.696015796274878e-05,3.92711372114718e-05,0.0001528908178443,DRMAgent,0.99,,,,5.0,28.0,0.000324769,18.0466,,,1.0,32768.0,True,1.0,,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,256,8,2,0,1000000,16,True,64
RMaxNFQAgent,sweep_c104,5,8.188971696652753e-05,8.624287282024625e-05,3.856898524018792e-05,0.0,0.0001971109741134,7.547194400103763e-05,0.0,0.0001368656667182,RMaxNFQAgent,0.99,,,,5.0,,0.178232,4.26054,232.0,53.0,,,,,1.0,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,4,3,0,1000000,4,True,256
DRMAgent,sweep_c153,5,8.144169842124e-05,7.581321698928631e-05,3.3904701356197226e-05,0.0,0.0001549832668388,0.0001133507248596,0.0,0.0001388745004078,DRMAgent,0.99,,,,5.0,289.0,0.0111956,16.4579,,,1.0,2048.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,2048,2,1,0,1000000,16,True,1
RMaxNFQAgent,sweep_c125,5,8.083039501797837e-05,6.407172825970329e-05,2.865374796491817e-05,0.0,0.0001693874801276,9.321858669864014e-05,4.1712122765602544e-05,9.983378549804912e-05,RMaxNFQAgent,0.99,,,,5.0,,0.00185733,14.7801,29.0,78.0,,,,,1.0,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,1,3,0,1000000,8,True,1
DRMAgent,sweep_c189,5,8.019389497348429e-05,7.765773373048798e-05,3.472959431998989e-05,0.0,0.0001549832668388,9.134047286352144e-05,0.0,0.0001546457351651,DRMAgent,0.99,,,,5.0,85.0,1.99888e-05,2.79757,,,1.0,16384.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,4,0,0,1000000,16,True,2048
DRMAgent,sweep_c7,5,7.998702712938292e-05,8.576830491908198e-05,3.8356752022799376e-05,0.0,0.0002243423950858,5.696015796274878e-05,3.92711372114718e-05,7.936144538689405e-05,DRMAgent,0.99,,,,5.0,412.0,0.326575,9.01459,,,1.0,16384.0,True,1.0,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,8,1,0,1000000,16,True,2
