agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DQNAgent,sweep_c26,5,0.8043615102767945,0.0018601410185462677,0.0008318803530410302,0.801228940486908,0.8058875799179077,0.8050826191902161,0.8041770458221436,0.8054313659667969,DQNAgent,0.99,339134.0,0.161143,0.757497,,,2.89549e-05,2.39068,,,,2048.0,,,,8192,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,256,1,0,0,1000000,1,True,1
DQNAgent,sweep_c85,5,0.7784081935882569,0.023710283917791557,0.01060356132120039,0.7366341352462769,0.7918688654899597,0.7904365658760071,0.7817985415458679,0.7913028597831726,DQNAgent,0.99,21631.0,0.167893,0.82838,,,0.000271077,5.06959,,,,256.0,,,,8192,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,64,4,3,0,1000000,4,True,32
DQNAgent,sweep_c76,4,0.7648282498121262,0.010070793088002255,0.005035396544001127,0.7519004344940186,0.7735971808433533,0.7669076919555664,0.7593466490507126,0.77238929271698,DQNAgent,0.99,308510.0,0.24465,0.437336,,,1.79756e-05,18.1259,,,,64.0,,,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,128,2,0,0,1000000,1,True,32
DQNAgent,sweep_c58,5,0.7602142930030823,0.004375986609787209,0.001957000705622609,0.7532158493995667,0.7649291157722473,0.760266125202179,0.7601268291473389,0.7625335454940796,DQNAgent,0.99,422732.0,0.249392,0.928373,,,7.78639e-06,6.38624,,,,512.0,,,,8192,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,128,4,3,0,1000000,2,True,32
DQNAgent,sweep_c158,5,0.6265021979808807,0.1058003189952749,0.04731534106291938,0.4526057541370392,0.732040286064148,0.6633591055870056,0.6144863367080688,0.6700195074081421,DQNAgent,0.99,156552.0,0.159615,0.637604,,,3.35491e-06,7.25331,,,,256.0,,,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,64,2,4,0,1000000,1,True,512
NFQAgent,sweep_c76,5,0.2777138356119394,0.3451999478313475,0.15437810983605482,0.0228919554501771,0.7342851161956787,0.0389020405709743,0.0264834649860858,0.566006600856781,NFQAgent,0.99,27106.0,0.0735151,0.958024,,,1.31252e-05,18.1635,,18.0,,,,,,8192,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,32,4,3,0,1000000,2,True,1
NFQAgent,sweep_c180,5,0.15939149558544155,0.20725329250579716,0.09268649012072203,0.0474581010639667,0.528656542301178,0.0852838307619094,0.0497172661125659,0.0858417376875877,NFQAgent,0.99,292409.0,0.176194,0.933465,,,2.42477e-05,14.7565,,1.0,,,,,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,16,2,1,0,1000000,2,True,128
NFQAgent,sweep_c22,5,0.0481202948838472,0.01404790210818832,0.006282412811034338,0.0300475414842367,0.0693481117486953,0.0476375818252563,0.0447437949478626,0.0488244444131851,NFQAgent,0.99,295337.0,0.0524506,0.669301,,,7.91865e-06,12.2776,,1.0,,,,,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,2048,4,2,0,1000000,4,True,8192
NFQAgent,sweep_c151,5,0.034044662490487064,0.0031067762726326646,0.0013893925872980114,0.0290683265775442,0.0367009863257408,0.0347789674997329,0.03325767070055,0.0364173613488674,NFQAgent,0.99,198056.0,0.0807985,0.78198,,,4.3017e-06,2.16485,,19.0,,,,,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,32,8,4,0,1000000,4,True,32
NFQAgent,sweep_c12,5,0.030548976734280538,0.005310699052204822,0.0023750168177547374,0.024567762389779,0.0382814705371856,0.0314621217548847,0.0266805961728096,0.0317529328167438,NFQAgent,0.99,316710.0,0.241743,0.743944,,,0.0453674,13.7715,,14.0,,,,,,4096,FlatteningReplayBuffer,"(16, 16, 3)",,0,0,1024,128,16,2,0,1000000,16,True,2
