agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
RMaxNFQAgent,sweep_c115,5,0.9501443028450012,0.00024029779940736178,0.00010746444286369392,0.9497655630111694,0.9503491520881652,0.9502516388893129,0.9500514268875122,0.9503037333488464,RMaxNFQAgent,0.99,5,,3.03709e-06,7.5904,95.0,89.0,,,,,1.0,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,256,1,4,0,1000000,4,True,512
DRMAgent,sweep_c134,5,0.9475736379623413,0.0001564486622637395,6.996596876212553e-05,0.9473282694816588,0.9477203488349916,0.947606325149536,0.947526216506958,0.947687029838562,DRMAgent,0.99,5,275.0,0.000864137,2.5237,,,1.0,64.0,True,1.0,,131072,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,3,0,1000000,1,True,2048
DRMAgent,sweep_c181,5,0.9474293828010559,0.00012828743710309362,5.73718860043492e-05,0.9472185373306274,0.9475615620613098,0.9474384784698486,0.9474377036094666,0.9474906325340272,DRMAgent,0.99,5,472.0,0.000939964,1.72149,,,1.0,64.0,True,1.0,,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,0,0,1000000,1,True,2
DRMAgent,sweep_c99,5,0.9474006056785583,0.0005894460597887782,0.00026360829175142264,0.9466307163238524,0.948177933692932,0.9475359916687012,0.9470425844192504,0.9476158022880554,DRMAgent,0.99,5,348.0,0.0006859,10.9204,,,1.0,512.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,3,0,1000000,1,True,2
DRMAgent,sweep_c56,5,0.9453645706176758,0.0023136950291052874,0.0010347158728565553,0.9413098692893982,0.9468683004379272,0.9464763402938844,0.945615530014038,0.9465528130531312,DRMAgent,0.99,5,186.0,0.00129977,2.18445,,,1.0,256.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,4,0,1000000,2,True,512
RMaxNFQAgent,sweep_c183,5,0.9452249646186829,0.0039010785410649824,0.001744615360677401,0.9383129477500916,0.9475837349891664,0.9468953013420104,0.9461240768432616,0.9472087621688844,RMaxNFQAgent,0.99,5,,6.92689e-06,6.46891,443.0,31.0,,,,,1.0,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,1,3,0,1000000,2,True,128
DRMAgent,sweep_c71,5,0.9440683722496033,0.0006383912578817561,0.00028549724977304096,0.9434877634048462,0.9451435208320618,0.943818747997284,0.9437962174415588,0.9440956115722656,DRMAgent,0.99,5,239.0,0.000159843,2.11946,,,1.0,64.0,True,1.0,,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,1,3,0,1000000,1,True,512
DRMAgent,sweep_c192,5,0.9433285236358643,0.00380148013435124,0.0017000735991048812,0.936651051044464,0.9460719227790833,0.9447004795074464,0.9440969228744508,0.945122241973877,DRMAgent,0.99,5,181.0,0.00177818,16.6868,,,1.0,2048.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,3,0,1000000,1,True,4
DRMAgent,sweep_c184,5,0.9422251939773559,0.010851438049252612,0.0048529106263513104,0.9236526489257812,0.9495801329612732,0.9473056197166444,0.9415966868400574,0.9489908814430236,DRMAgent,0.99,5,444.0,5.55191e-05,3.34194,,,1.0,64.0,True,1.0,,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,3,0,1000000,1,True,2048
DRMAgent,sweep_c14,5,0.9414857506752015,0.00601593511183683,0.00269040797165899,0.9309178590774536,0.9458535313606262,0.943483293056488,0.9428166151046752,0.944357454776764,DRMAgent,0.99,5,487.0,0.000245629,9.06621,,,1.0,1024.0,True,1.0,,131072,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,1,3,0,1000000,4,True,2
DRMAgent,sweep_c157,5,0.9409604668617249,0.0014156805842927655,0.0006331116041810489,0.9386834502220154,0.9422606229782104,0.941207766532898,0.9406872391700744,0.941963255405426,DRMAgent,0.99,5,121.0,0.000779604,14.7364,,,1.0,256.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,1,0,1000000,4,True,4096
RMaxNFQAgent,sweep_c19,5,0.9393030047416687,0.0011621217884792351,0.0005197166634346403,0.9377087950706482,0.9404789805412292,0.939722180366516,0.9384956955909728,0.940109372138977,RMaxNFQAgent,0.99,5,,3.32382e-06,19.6201,426.0,19.0,,,,,1.0,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,1,0,0,1000000,2,True,4
DRMAgent,sweep_c91,5,0.937669312953949,0.012014172497248668,0.005372901279451285,0.9180095791816713,0.9473739862442015,0.9412882328033448,0.935202419757843,0.9464723467826844,DRMAgent,0.99,5,282.0,0.00023716,11.8624,,,1.0,256.0,True,1.0,,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,1,4,0,1000000,4,True,2
DRMAgent,sweep_c136,5,0.9372822761535644,0.0015813954033600272,0.000707221524243744,0.9349213242530824,0.9386470317840576,0.93791925907135,0.9364380836486816,0.9384856820106506,DRMAgent,0.99,5,266.0,5.65638e-05,4.7487,,,1.0,2048.0,True,1.0,,131072,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,2,0,1000000,4,True,512
DRMAgent,sweep_c94,5,0.9369724512100219,0.010431460992430051,0.004665091176742202,0.9212169051170348,0.9446807503700256,0.9433130621910096,0.9312703609466552,0.9443811774253844,DRMAgent,0.99,5,487.0,1.14004e-05,5.61171,,,1.0,128.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,256,1,2,0,1000000,2,True,4096
DRMAgent,sweep_c95,5,0.9264556050300599,0.007104351611542719,0.00317716262789394,0.9180846214294434,0.934370458126068,0.9293930530548096,0.9198548197746276,0.9305750727653505,DRMAgent,0.99,5,360.0,0.000348881,3.78908,,,1.0,4096.0,True,1.0,,32768,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,4,0,1000000,2,True,8
DRMAgent,sweep_c6,5,0.9145909905433655,0.01611780852844015,0.007208103103583606,0.8885377645492554,0.927730679512024,0.9201623797416688,0.910208523273468,0.9263156056404114,DRMAgent,0.99,5,431.0,0.000187449,12.2768,,,1.0,64.0,True,1.0,,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,1,2,0,1000000,4,True,2048
DRMAgent,sweep_c126,5,0.9139922857284546,0.07549784611442405,0.03376366321333411,0.7789430618286133,0.9483981728553772,0.9478201270103456,0.9466374516487122,0.9481626152992249,DRMAgent,0.99,5,479.0,0.00139856,9.27253,,,1.0,64.0,True,1.0,,131072,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,2,0,1000000,1,True,4096
DRMAgent,sweep_c125,5,0.9137911796569824,0.027854393042218314,0.012456863262879463,0.8696081042289734,0.9336290955543518,0.9309192299842834,0.9025948643684388,0.9322046041488647,DRMAgent,0.99,5,441.0,0.00015568,6.94441,,,1.0,8192.0,True,1.0,,131072,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,1,2,0,1000000,1,True,16
DRMAgent,sweep_c68,5,0.9094913482666016,0.019106696328500976,0.008544774363194766,0.8811389803886414,0.9272220730781556,0.9186620712280272,0.8988838195800781,0.9215497970581056,DRMAgent,0.99,5,415.0,0.000153666,12.8556,,,1.0,256.0,True,1.0,,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,1,3,0,1000000,4,True,2048
DRMAgent,sweep_c0,5,0.9045821547508239,0.04740571933092578,0.021200482189245178,0.8212822675704956,0.9333616495132446,0.9288147687911988,0.9103403091430664,0.9291117787361144,DRMAgent,0.99,5,433.0,0.000156856,0.905639,,,1.0,4096.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,0,0,1000000,8,True,4096
DRMAgent,sweep_c166,5,0.8996896743774414,0.04601211021699835,0.020577241246684183,0.8267101049423218,0.9415789246559144,0.9179060459136964,0.8840696215629578,0.9281836748123168,DRMAgent,0.99,5,23.0,0.000329846,18.5948,,,1.0,2048.0,True,1.0,,131072,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,4,0,1000000,4,True,2048
